,Release Date,Season,Episode,Episode Title,Name,Sentence,House,Sentences_Clean,Num_Words,Tokenized_Sentence,Tokenized_No_Stop,Stemmed_Sentence,Stemmed_Sentence_Non_Token,Sentiment,Sentiment_Compound_Score,Lannister_Word_Score,Stark_Word_Score,Targaryen_Word_Score,Mormont_Word_Score
4263,4/15/2012,Season 2,Episode 3,What Is Dead May Never Die,grand maester pycelle,"Oh, Lord Arryn, h-he knew. He, he knew the t-truth about, about, about the Queen. An-And he planned to act, to t-tell King Robert.",House Lannister, oh lord arryn hhe knew he he knew the ttruth about about about the queen anand he planned to act to ttell king robert,24,"['oh', 'lord', 'arryn', 'hhe', 'knew', 'he', 'he', 'knew', 'the', 'ttruth', 'about', 'about', 'about', 'the', 'queen', 'anand', 'he', 'planned', 'to', 'act', 'to', 'ttell', 'king', 'robert']","['oh', 'lord', 'arryn', 'hhe', 'knew', 'knew', 'ttruth', 'queen', 'anand', 'planned', 'act', 'ttell', 'king', 'robert']","['oh', 'lord', 'arryn', 'hhe', 'knew', 'knew', 'ttruth', 'queen', 'anand', 'planned', 'act', 'ttell', 'king', 'robert']", oh lord arryn hhe knew knew ttruth queen anand planned act ttell king robert,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,0.0006700306063363388,0.0011371293800539084,0.0004782192852795409,0.00036235166228825073
6062,5/20/2012,Season 2,Episode 8,The Prince of Winterfell,jaime lannister,"I didn't mean to give offense, my lady. Forgive me.",House Lannister, i did not mean to give offense my lady forgive me,11,"['i', 'did', 'not', 'mean', 'to', 'give', 'offense', 'my', 'lady', 'forgive', 'me']","['mean', 'give', 'offense', 'lady', 'forgive']","['mean', 'give', 'offense', 'lady', 'forgive']", mean give offense lady forgive,"{'neg': 0.282, 'neu': 0.423, 'pos': 0.296, 'compound': 0.0258}",0.0258,0.0007411696583671105,0.0005306603773584907,0.0,0.0
5389,5/6/2012,Season 2,Episode 6,The Old Gods and the New,daenerys targaryen,Do you understand? I'm no ordinary woman. My dreams come true.,House Targaryen, do you understand i am no ordinary woman my dreams come true,12,"['do', 'you', 'understand', 'i', 'am', 'no', 'ordinary', 'woman', 'my', 'dreams', 'come', 'true']","['understand', 'ordinary', 'woman', 'dreams', 'come', 'true']","['understand', 'ordinary', 'woman', 'dream', 'come', 'true']", understand ordinary woman dream come true,"{'neg': 0.0, 'neu': 0.455, 'pos': 0.545, 'compound': 0.5859}",0.5859,0.00019301293186643504,0.0005896226415094339,0.0008622438628525057,0.0004227436060029592
4725,4/29/2012,Season 2,Episode 5,The Ghost of Harrenhal,tyrion lannister,"Some say it was one of his own Kingsguard, while still others say it was Stannis himself who did it after negotiations went sour.",House Lannister, some say it was one of his own kingsguard while still others say it was stannis himself who did it after negotiations went sour,24,"['some', 'say', 'it', 'was', 'one', 'of', 'his', 'own', 'kingsguard', 'while', 'still', 'others', 'say', 'it', 'was', 'stannis', 'himself', 'who', 'did', 'it', 'after', 'negotiations', 'went', 'sour']","['say', 'one', 'kingsguard', 'still', 'others', 'say', 'stannis', 'negotiations', 'went', 'sour']","['say', 'one', 'kingsguard', 'still', 'others', 'say', 'stannis', 'negotiation', 'went', 'sour']", say one kingsguard still others say stannis negotiation went sour,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,0.0007527504342790967,0.0008156446540880504,0.0007912355447352405,0.0008877615726062143
5706,5/13/2012,Season 2,Episode 7,A Man Without Honor,robb stark,If you need help finding these-,House Stark, if you need help finding these,6,"['if', 'you', 'need', 'help', 'finding', 'these']","['need', 'help', 'finding']","['need', 'help', 'finding']", need help finding,"{'neg': 0.0, 'neu': 0.426, 'pos': 0.574, 'compound': 0.4019}",0.4019,0.0,0.0,0.0004057618178129438,0.0012682308180088776
5684,5/13/2012,Season 2,Episode 7,A Man Without Honor,alton,"She admired your spirit, Your Grace.",House Lannister, she admired your spirit your grace,6,"['she', 'admired', 'your', 'spirit', 'your', 'grace']","['admired', 'spirit', 'grace']","['admired', 'spirit', 'grace']", admired spirit grace,"{'neg': 0.0, 'neu': 0.0, 'pos': 1.0, 'compound': 0.7783}",0.7783,0.0003474232773595831,0.000720649895178197,0.0,0.0006341154090044388
5109,5/6/2012,Season 2,Episode 6,The Old Gods and the New,bran stark,Theon?,House Stark, theon,1,['theon'],['theon'],['theon'], theon,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,0.0,0.0,0.0,0.0
6857,6/3/2012,Season 2,Episode 10,Valar Morghulis,catelyn stark,And you mean to do it anyway?,House Stark, and you mean to do it anyway,7,"['and', 'you', 'mean', 'to', 'do', 'it', 'anyway']","['mean', 'anyway']","['mean', 'anyway']", mean anyway,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,0.0,0.0,0.0,0.0
4991,4/29/2012,Season 2,Episode 5,The Ghost of Harrenhal,catelyn stark,"When the time comes, I will not hold you back.",House Stark, when the time comes i will not hold you back,10,"['when', 'the', 'time', 'comes', 'i', 'will', 'not', 'hold', 'you', 'back']","['time', 'comes', 'hold', 'back']","['time', 'come', 'hold', 'back']", time come hold back,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,0.000897510133178923,0.0019654088050314465,0.0015216068167985394,0.0006341154090044388
5291,5/6/2012,Season 2,Episode 6,The Old Gods and the New,sansa stark,My little brother cried when I left Winterfell.,House Stark, my little brother cried when i left winterfell,8,"['my', 'little', 'brother', 'cried', 'when', 'i', 'left', 'winterfell']","['little', 'brother', 'cried', 'left', 'winterfell']","['little', 'brother', 'cried', 'left', 'winterfell']", little brother cried left winterfell,"{'neg': 0.367, 'neu': 0.633, 'pos': 0.0, 'compound': -0.323}",-0.323,0.0010885929357266938,0.0010416666666666669,0.00042604990870359096,0.0002536461636017755
